ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName_NO3,USGSPCode_NO3,ResultMeasureValue_NO3,ResultMeasure_MeasureUnitCode_NO3,CharacteristicName_PO4,USGSPCode_PO4,ResultMeasureValue_PO4,ResultMeasure_MeasureUnitCode_PO4,MonitoringLocationName,HUCEightDigitCode,ResolvedMonitoringLocationTypeName,StateName,CountyName,lat,lon
1970-07-09,USGS-04294410,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1970-08-04,USGS-04294402,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1970-08-04,USGS-04294408,Nitrate,00618,3.6,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1970-08-04,USGS-04294410,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1970-08-25,USGS-04295000,Nitrate,00618,0.158,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1970-09-10,USGS-04246000,Nitrate,00618,0.05,mg/l as N,NA,NA,NA,NA,ONEIDA LAKE AT BREWERTON NY,04140202,"Lake, Reservoir, Impoundment",New York,Onondaga County,43.2403464,-76.1413131
1970-09-10,USGS-04294402,Nitrate,00618,0.04,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1970-09-10,USGS-04294408,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1970-09-10,USGS-04294410,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1970-09-23,USGS-04295000,Nitrate,00618,0.045,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1970-10-05,USGS-04294402,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1970-10-05,USGS-04294408,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1970-10-05,USGS-04294410,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1970-10-09,USGS-01359920,Nitrate,00618,0.023,mg/l as N,NA,NA,NA,NA,ALCOVE RESERVOIR AT ALCOVE NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.4675807,-73.9312397
1970-10-13,USGS-04236000,Nitrate,00618,0.407,mg/l as N,NA,NA,NA,NA,SKANEATELES LAKE AT SKANEATELES NY,04140201,"Lake, Reservoir, Impoundment",New York,Onondaga County,42.9447667,-76.4291917
1970-10-13,USGS-04240170,Nitrate,00618,0.113,mg/l as N,NA,NA,NA,NA,OTISCO LAKE AT MARIETTA NY,04140201,"Lake, Reservoir, Impoundment",New York,Onondaga County,42.9045114,-76.3124307
1970-10-14,USGS-01343900,Nitrate,00618,0.136,mg/l as N,NA,NA,NA,NA,HINCKLEY RESERVOIR AT HINCKLEY NY,02020004,"Lake, Reservoir, Impoundment",New York,Oneida County,43.3114579,-75.10794
1970-10-15,USGS-01316808,Nitrate,00618,0.045,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1970-10-15,USGS-01316815,Nitrate,00618,0.027,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1970-10-21,USGS-04295000,Nitrate,00618,0.059,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1970-10-23,USGS-01335200,Nitrate,00618,0.045,mg/l as N,NA,NA,NA,NA,TOMHANNOCK RESERVOIR NEAR TOMHANNOCK NY,02020003,"Lake, Reservoir, Impoundment",New York,Rensselaer County,42.8675774,-73.5853939
1970-11-17,USGS-04295000,Nitrate,00618,0.113,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1971-04-21,USGS-04273900,Nitrate,00618,0.271,mg/l as N,NA,NA,NA,NA,LAKE PLACID AT LAKE PLACID NY,04150404,"Lake, Reservoir, Impoundment",New York,Essex County,44.2950468,-73.9901494
1971-04-22,USGS-01306405,Nitrate,00618,0.12,mg/l as N,NA,NA,NA,NA,LAKE RONKONKOMA AT LAKE RONKONKOMA NY,02030202,"Lake, Reservoir, Impoundment",New York,Suffolk County,40.8325983,-73.1256665
1971-04-22,USGS-04295000,Nitrate,00618,0.361,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1971-04-23,USGS-04295000,Nitrate,00618,0.226,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1971-04-27,USGS-04278000,Nitrate,00618,0.09,mg/l as N,NA,NA,NA,NA,LAKE GEORGE AT ROGERS ROCK NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8081389,-73.4578889
1971-05-13,USGS-01316808,Nitrate,00618,0.09,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1971-05-13,USGS-01316815,Nitrate,00618,0.045,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1971-05-18,USGS-04294402,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1971-05-18,USGS-04294408,Nitrate,00618,0.09,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1971-05-18,USGS-04294410,Nitrate,00618,0.11,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1971-05-18,USGS-04295000,Nitrate,00618,0.113,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1971-06-08,USGS-04294402,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1971-06-08,USGS-04294408,Nitrate,00618,0.04,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1971-06-08,USGS-04294410,Nitrate,00618,0.06,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1971-06-16,USGS-04295000,Nitrate,00618,0.095,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1971-06-30,USGS-04294402,Nitrate,00618,0.4,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1971-07-01,USGS-04294408,Nitrate,00618,0.02,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1971-07-01,USGS-04294410,Nitrate,00618,0.05,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1971-07-20,USGS-04295000,Nitrate,00618,0.02,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1971-08-03,USGS-04294402,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1971-08-03,USGS-04294408,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1971-08-03,USGS-04294410,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1971-08-11,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-12,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-13,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-16,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-17,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-18,USGS-01359499,Nitrate,00618,0.1,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-19,USGS-01359499,Nitrate,00618,0.1,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-20,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-08-24,USGS-01359499,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,WATERVLIET RESERVOIR NEAR GUILDERLAND NY,02020006,"Lake, Reservoir, Impoundment",New York,Albany County,42.7114661,-73.960403
1971-09-09,USGS-04294402,Nitrate,00618,0.3,mg/l as N,Phosphorus,00666,0.02,mg/l as P,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1971-09-09,USGS-04294408,Nitrate,00618,0.1,mg/l as N,Phosphorus,00666,0,mg/l as P,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1971-09-09,USGS-04294410,Nitrate,00618,0.1,mg/l as N,Phosphorus,00666,0.03,mg/l as P,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1971-09-20,USGS-04246000,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,ONEIDA LAKE AT BREWERTON NY,04140202,"Lake, Reservoir, Impoundment",New York,Onondaga County,43.2403464,-76.1413131
1971-10-05,USGS-04294402,Nitrate,00618,0.3,mg/l as N,Phosphorus,00666,0.08,mg/l as P,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1971-10-05,USGS-04294408,Nitrate,00618,0.2,mg/l as N,Phosphorus,00666,0.06,mg/l as P,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1971-10-05,USGS-04294410,Nitrate,00618,0.2,mg/l as N,Phosphorus,00666,0.05,mg/l as P,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1971-10-27,USGS-01316808,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1971-10-27,USGS-01316815,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1971-11-03,USGS-04295000,Nitrate,00618,0.04,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1972-04-11,USGS-04295000,Nitrate,00618,0.24,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1972-04-19,USGS-01304740,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,MECOX BAY AT FLYING POINT NY,02030202,"Lake, Reservoir, Impoundment",New York,Suffolk County,40.8951111,-72.3453611
1972-05-02,USGS-04294402,Nitrate,00618,0.4,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1972-05-02,USGS-04294408,Nitrate,00618,0.04,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1972-05-02,USGS-04294410,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1972-05-08,USGS-04295000,Nitrate,00618,0.23,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1972-06-07,USGS-04295000,Nitrate,00618,0.22,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1972-06-20,USGS-01316808,Nitrate,00618,0.08,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1972-06-20,USGS-01316815,Nitrate,00618,0.1,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1972-06-20,USGS-04294402,Nitrate,00618,0.5,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1972-06-20,USGS-04294408,Nitrate,00618,0.1,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1972-06-20,USGS-04294410,Nitrate,00618,0.02,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1972-07-06,USGS-04294402,Nitrate,00618,0.4,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1972-07-06,USGS-04294408,Nitrate,00618,0.04,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1972-07-06,USGS-04294410,Nitrate,00618,0.03,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1972-08-08,USGS-04294402,Nitrate,00618,0.4,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1972-08-08,USGS-04294408,Nitrate,00618,0.05,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1972-08-08,USGS-04294410,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1972-08-15,USGS-01316808,Nitrate,00618,0.03,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1972-08-15,USGS-01316815,Nitrate,00618,0.03,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1972-09-06,USGS-04294402,Nitrate,00618,0.4,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1972-09-06,USGS-04294408,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1972-09-06,USGS-04294410,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1972-10-03,USGS-01335200,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,TOMHANNOCK RESERVOIR NEAR TOMHANNOCK NY,02020003,"Lake, Reservoir, Impoundment",New York,Rensselaer County,42.8675774,-73.5853939
1972-10-04,USGS-441153074280900,Nitrate,00618,0.6,mg/l as N,NA,NA,NA,NA,F  21,04150305,"Lake, Reservoir, Impoundment",New York,Franklin County,44.1981156,-74.4687794
1972-10-11,USGS-01316808,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1972-10-11,USGS-01316815,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1972-10-17,USGS-04294409,Nitrate,00618,0.05,mg/l as N,NA,NA,NA,NA,EX 228,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8917257,-73.391231
1972-10-18,USGS-01335200,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,TOMHANNOCK RESERVOIR NEAR TOMHANNOCK NY,02020003,"Lake, Reservoir, Impoundment",New York,Rensselaer County,42.8675774,-73.5853939
1972-10-18,USGS-441153074280900,Nitrate,00618,0.6,mg/l as N,NA,NA,NA,NA,F  21,04150305,"Lake, Reservoir, Impoundment",New York,Franklin County,44.1981156,-74.4687794
1972-10-20,USGS-04277005,Nitrate,00618,0.02,mg/l as N,NA,NA,NA,NA,WR 110,04150408,"Lake, Reservoir, Impoundment",New York,Warren County,43.4372919,-73.7034516
1972-10-31,USGS-414759074215700,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,U 490,02020007,"Lake, Reservoir, Impoundment",New York,Ulster County,41.7998155,-74.3654303
1972-11-01,USGS-01335200,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,TOMHANNOCK RESERVOIR NEAR TOMHANNOCK NY,02020003,"Lake, Reservoir, Impoundment",New York,Rensselaer County,42.8675774,-73.5853939
1972-11-01,USGS-441153074280900,Nitrate,00618,0.6,mg/l as N,NA,NA,NA,NA,F  21,04150305,"Lake, Reservoir, Impoundment",New York,Franklin County,44.1981156,-74.4687794
1972-11-13,USGS-414759074215700,Nitrate,00618,0.4,mg/l as N,NA,NA,NA,NA,U 490,02020007,"Lake, Reservoir, Impoundment",New York,Ulster County,41.7998155,-74.3654303
1972-11-15,USGS-01335200,Nitrate,00618,0.1,mg/l as N,NA,NA,NA,NA,TOMHANNOCK RESERVOIR NEAR TOMHANNOCK NY,02020003,"Lake, Reservoir, Impoundment",New York,Rensselaer County,42.8675774,-73.5853939
1972-11-15,USGS-441153074280900,Nitrate,00618,0.7,mg/l as N,NA,NA,NA,NA,F  21,04150305,"Lake, Reservoir, Impoundment",New York,Franklin County,44.1981156,-74.4687794
1972-11-27,USGS-414759074215700,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,U 490,02020007,"Lake, Reservoir, Impoundment",New York,Ulster County,41.7998155,-74.3654303
1972-11-29,USGS-01335200,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,TOMHANNOCK RESERVOIR NEAR TOMHANNOCK NY,02020003,"Lake, Reservoir, Impoundment",New York,Rensselaer County,42.8675774,-73.5853939
1972-11-29,USGS-441153074280900,Nitrate,00618,0.7,mg/l as N,NA,NA,NA,NA,F  21,04150305,"Lake, Reservoir, Impoundment",New York,Franklin County,44.1981156,-74.4687794
1972-12-11,USGS-414759074215700,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,U 490,02020007,"Lake, Reservoir, Impoundment",New York,Ulster County,41.7998155,-74.3654303
