STNID,NAME,CTRY,COUNTRY_NAME,ISO2C,ISO3C,STATE,LATITUDE,LONGITUDE,ELEVATION,BEGIN,END,YEARMODA,YEAR,MONTH,DAY,YDAY,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,EA,ES,RH,ELEV(M)
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-14,2011,1,14,14,-5.6,24,-11.8,24,1022.8,24,21.9,24,15.8,24,4.5,24,7.2,10.3,-1.1,NA,-7.2,NA,0,G,NA,0,0,0,0,0,0,0.2,0.4,61.6,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-15,2011,1,15,15,-6.6,24,-12.1,24,1021.3,24,20.4,24,16.1,24,4.2,24,6.2,9.3,-2.2,NA,-9.4,NA,0.25,G,NA,1,0,0,0,NA,NA,0.2,0.4,65,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-16,2011,1,16,16,-0.1,24,-7.6,24,1012.5,24,11.5,24,15.9,24,5.8,24,9.3,13.4,1.7,NA,-9.4,NA,0,G,NA,1,0,0,0,NA,NA,0.3,0.6,57,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-17,2011,1,17,17,-6.9,24,-16.3,24,1024.9,24,24,24,16.1,24,4.5,24,7.7,10.8,1.7,NA,-10,NA,0,G,NA,0,0,0,0,0,0,0.2,0.4,47.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-18,2011,1,18,18,-3.8,24,-8.1,24,1025.5,16,21.5,24,10.3,24,3.7,24,8.2,NA,4,*,-9.4,*,0.25,G,NA,1,1,0,0,0,NA,0.3,0.5,72.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-19,2011,1,19,19,2.8,24,2.1,24,1002.2,15,1.3,24,6,24,4.7,24,7.2,10.3,4.4,NA,-6.6,NA,23.88,G,NA,1,1,1,0,0,0,0.7,0.7,95.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-20,2011,1,20,20,-0.7,24,-5.3,24,1013.7,16,11.2,24,12.4,24,4.4,24,6.2,7.7,3.9,NA,-2.8,NA,4.83,G,NA,1,0,0,0,NA,NA,0.4,0.6,71,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-21,2011,1,21,21,-2.7,24,-7.2,24,1005,15,2.3,24,9.2,24,4.4,24,10.3,13.9,0,NA,-4.4,NA,3.05,G,NA,1,0,1,0,0,0,0.4,0.5,71.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-22,2011,1,22,22,-5.7,24,-13.1,24,1009.6,24,8.6,24,16.1,24,5.5,24,10.3,13.4,-1.1,NA,-8.3,NA,2.79,G,NA,0,0,0,0,0,0,0.2,0.4,55.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-23,2011,1,23,23,-7.6,24,-14.8,24,1011.8,24,10.9,24,16.1,24,4.2,24,9.3,12.9,-3.3,NA,-11.1,NA,0,G,NA,0,0,0,0,0,0,0.2,0.3,56.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-24,2011,1,24,24,-14.2,24,-25,24,1027.1,24,26.2,24,16.1,24,6.2,24,9.3,13.4,-4.4,NA,-18.9,NA,0,G,NA,0,0,0,0,0,0,0.1,0.2,39.6,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-25,2011,1,25,25,-7.4,24,-13.7,24,1024.4,18,23.5,24,10.5,24,2.8,24,5.1,NA,0,NA,-18.9,NA,0.76,G,NA,1,0,0,0,NA,NA,0.2,0.4,60.7,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-26,2011,1,26,26,-4.9,24,-6.9,24,1019.7,17,17.1,24,8,24,2.4,24,8.8,12.4,1.1,NA,-11.1,NA,0.51,G,NA,1,0,0,0,NA,NA,0.4,0.4,85.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-27,2011,1,27,27,-0.9,24,-5.4,24,1003.7,16,1.9,24,7.2,24,7.7,24,12.4,17.5,1.7,NA,-9.4,NA,5.33,G,NA,1,1,1,0,0,0,0.4,0.6,71.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-28,2011,1,28,28,-2.2,24,-7.5,24,1010.2,24,9.2,24,15.8,24,2.7,24,4.6,NA,1.7,NA,-7.8,NA,1.78,G,NA,0,0,0,0,0,0,0.3,0.5,67,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-29,2011,1,29,29,-0.7,24,-4.5,24,1011.5,24,10.4,24,14.5,24,2.3,24,3.6,NA,2.8,NA,-7.8,NA,0,G,NA,1,0,0,0,NA,NA,0.4,0.6,75.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-30,2011,1,30,30,-0.7,24,-7.9,24,1015.8,24,14.9,24,16.1,24,3.7,24,7.7,9.8,2.8,NA,-3.3,NA,0,G,NA,0,0,0,0,0,0,0.3,0.6,58.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-31,2011,1,31,31,-4.3,24,-14.1,24,1027.2,24,26.3,24,16.1,24,4.1,24,5.7,9.8,2.2,NA,-7.8,NA,0,G,NA,0,0,0,0,0,0,0.2,0.4,46.4,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-01,2011,2,1,32,-7.2,24,-15.1,24,1030.7,19,29.4,24,9.5,24,3.4,24,7.2,NA,-3.3,NA,-8.9,NA,0,G,NA,1,0,1,0,0,0,0.2,0.4,53.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-02,2011,2,2,33,-3.1,24,-4.8,24,1021.3,11,16.1,24,6,24,6,24,10.3,12.4,2.2,NA,-8.9,NA,17.27,G,NA,1,1,0,0,0,NA,0.4,0.5,88,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-03,2011,2,3,34,-5.4,24,-9.6,24,1019,22,17.1,24,13.8,24,3.4,24,8.2,11.3,2.2,NA,-7.2,NA,16,G,NA,1,0,0,0,NA,NA,0.3,0.4,72.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-04,2011,2,4,35,-4.1,24,-11.1,24,1021.9,24,20.9,24,16.1,24,5,24,9.3,11.3,0.6,NA,-8.9,NA,0,G,NA,0,0,0,0,0,0,0.3,0.5,58.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-05,2011,2,5,36,-1.6,24,-6.5,24,1015.6,22,13.8,24,15.1,24,3.6,24,6.2,NA,2.8,NA,-8.9,NA,0,G,NA,1,0,0,0,0,NA,0.4,0.5,69.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-06,2011,2,6,37,3.9,24,-1.3,24,1003.8,20,1.4,22,12.2,24,6.7,24,13.4,18,5.6,NA,-5.5,NA,6.86,G,NA,1,1,0,0,1,0,0.6,0.8,68.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-07,2011,2,7,38,2.1,24,-3.2,24,1015.6,24,14.6,24,15.6,24,2.9,24,4.6,NA,5.6,NA,-1.7,NA,0,G,NA,0,0,0,0,0,0,0.5,0.7,68,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-08,2011,2,8,39,1.6,24,-1.3,24,1004.4,14,1.9,24,10.1,24,3.9,24,13.4,19.6,5.6,NA,-3.9,NA,5.59,G,NA,1,1,1,0,0,0,0.6,0.7,81.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-09,2011,2,9,40,-6.3,24,-15.9,24,1015.6,24,14.6,24,16.1,24,8.1,24,13.4,19.5,3.9,NA,-10.6,NA,1.78,G,NA,0,0,0,0,0,0,0.2,0.4,46.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-10,2011,2,10,41,-3.3,24,-14.3,24,1014.3,24,13.3,24,16.1,24,5.3,24,6.7,11.3,-0.6,NA,-10.6,NA,0,G,NA,0,0,0,0,0,0,0.2,0.5,42.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-11,2011,2,11,42,-5.6,24,-17,24,1019.3,24,18.4,24,16.1,24,4.7,24,7.2,9.8,-1.7,NA,-10.6,NA,0,G,NA,0,0,0,0,0,0,0.2,0.4,40.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-12,2011,2,12,43,-1.9,24,-8.3,24,1012.4,24,11.4,24,16.1,24,4.9,24,10.3,13.4,3.9,NA,-10.6,NA,0,G,NA,0,0,0,0,0,0,0.3,0.5,61.6,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-13,2011,2,13,44,-1.3,24,-9.7,24,1014.4,24,13.5,24,16.1,24,6.3,24,8.8,13.4,3.9,NA,-6.1,NA,0,G,NA,0,0,0,0,0,0,0.3,0.6,52.8,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-14,2011,2,14,45,5.7,24,-2.7,24,1000.2,24,999.2,24,16.1,24,6.1,24,10.3,12.4,11.1,NA,-4.9,NA,0,G,NA,0,0,0,0,0,0,0.5,0.9,54.8,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-15,2011,2,15,46,-1.4,24,-13.1,24,1012,24,11.1,24,16.1,24,9.9,24,13.4,18.5,11.1,NA,-5.6,NA,0,G,NA,0,0,0,0,0,0,0.2,0.6,40.6,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-16,2011,2,16,47,-2.7,24,-16.6,24,1026,24,25,24,16.1,24,5,24,7.7,12.9,5,NA,-7.2,NA,0,G,NA,0,0,0,0,0,0,0.2,0.5,33.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-17,2011,2,17,48,5.9,24,-3.2,24,1018.6,24,17.7,24,16.1,24,3.4,24,5.7,NA,15,*,2.2,*,0,G,NA,0,0,0,0,0,0,0.5,0.9,52.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-18,2011,2,18,49,8.2,24,2.6,24,1008.7,24,7.7,24,15.9,24,3.3,24,7.2,9.8,15.6,NA,2.2,NA,0,G,NA,0,0,0,0,0,0,0.7,1.1,67.8,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-19,2011,2,19,50,4.6,24,-8,24,999.7,24,998.8,24,15.9,24,9.1,24,14.4,22.1,15.6,NA,-3.9,NA,1.27,G,NA,1,0,0,0,0,NA,0.3,0.8,39.6,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-20,2011,2,20,51,-4.7,24,-15.3,24,1013.2,24,12,24,15.6,24,9.2,24,13.4,19.6,8.3,NA,-8.3,NA,0,G,NA,1,0,0,0,NA,NA,0.2,0.4,43.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-21,2011,2,21,52,-2.5,24,-11.4,24,1011.4,20,10.4,24,12.2,24,4.8,24,9.8,13.4,2.2,NA,-8.3,NA,0.25,G,NA,1,0,0,0,NA,NA,0.3,0.5,50.4,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-22,2011,2,22,53,-5.9,24,-17.2,24,1014.5,24,13.5,24,16.1,24,5.7,24,8.8,12.4,3.3,NA,-10.6,NA,0.51,G,NA,0,0,0,0,0,0,0.2,0.4,40.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-23,2011,2,23,54,-1.6,24,-18.7,24,1022.6,24,21.6,24,16.1,24,5.3,24,8.2,11.8,5,NA,-10.6,NA,0,G,NA,0,0,0,0,0,0,0.1,0.5,25.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-24,2011,2,24,55,0.6,24,-14.6,24,1023.5,24,22.5,24,16.1,24,3.3,24,6.7,8.8,6.7,NA,-5.6,NA,0,G,NA,0,0,0,0,0,0,0.2,0.6,31,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-25,2011,2,25,56,2.7,24,0.1,24,1009.7,15,7,22,9.5,24,4.9,24,8.8,11.8,6.7,NA,-4.3,NA,4.57,G,NA,1,1,0,0,0,NA,0.6,0.7,83,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-26,2011,2,26,57,-0.1,24,-6.7,24,1015.8,22,12.7,24,14,24,6.5,24,14.9,20.6,3.9,NA,-2.2,NA,36.83,G,NA,1,0,0,0,NA,NA,0.4,0.6,61.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-27,2011,2,27,58,-1.1,24,-4.3,24,1017.6,17,16.1,24,8.2,24,3.5,24,7.2,9.8,2.8,NA,-3.9,NA,5.08,G,NA,1,0,1,0,0,0,0.4,0.6,78.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-02-28,2011,2,28,59,-0.6,24,-2.7,24,1014.9,15,11.9,24,11.1,24,2.7,24,7.7,NA,7,*,-5.6,*,2.79,G,NA,1,0,0,0,0,NA,0.5,0.6,85.7,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-01,2011,3,1,60,2.4,24,-7.1,24,1015.6,24,13.9,24,16.1,24,5.9,24,10.3,14.9,7.8,NA,-1.6,NA,16,G,NA,0,0,0,0,0,0,0.4,0.7,49.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-02,2011,3,2,61,3,24,-7.8,24,1018,24,17.1,24,16.1,24,7.1,24,12.9,17,8.9,NA,-1.7,NA,0,G,NA,0,0,0,0,0,0,0.3,0.8,45,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-03,2011,3,3,62,-5.3,24,-18.8,24,1030.9,24,30,24,16.1,24,7.2,24,10.8,16.5,8.9,NA,-11.1,NA,0.51,G,NA,0,0,0,0,0,0,0.1,0.4,33.8,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-04,2011,3,4,63,-3.4,24,-17.8,24,1040.3,24,39.4,24,16.1,24,3,24,7.2,NA,3.3,NA,-11.1,NA,0,G,NA,0,0,0,0,0,0,0.2,0.5,31.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-05,2011,3,5,64,4.3,24,-0.2,24,1032.7,22,31.9,24,16.1,24,5.4,24,10.3,14.4,12.8,NA,-7.2,NA,0,G,NA,1,0,0,0,0,NA,0.6,0.8,72.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-06,2011,3,6,65,11.7,24,6.8,24,1019.7,24,18.7,24,15.9,24,7.1,24,11.8,17,15.6,*,7.8,*,0,G,NA,1,0,0,0,0,NA,1,1.4,71.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-07,2011,3,7,66,8.4,24,5.6,24,1007.3,16,5.1,24,12.4,24,9.1,24,14.9,18.5,16.1,NA,-0.6,NA,11.94,G,NA,1,0,0,0,0,NA,0.9,1.1,82.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-08,2011,3,8,67,-0.4,24,-8.7,24,1029.4,24,28.5,24,16.1,24,4.8,24,10.8,15.4,3.3,*,-3.3,*,0.25,G,NA,0,0,0,0,0,0,0.3,0.6,53.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-09,2011,3,9,68,1,24,-4.3,24,1038.4,23,37.6,24,16.1,24,5.1,24,7.7,9.3,3.9,NA,-3.9,NA,0,G,NA,0,0,0,0,0,0,0.4,0.7,67.7,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-10,2011,3,10,69,3.1,24,-0.1,24,1031.8,21,31.7,24,14.5,24,7.2,24,8.2,11.3,4.4,NA,-1.6,NA,0,G,NA,0,0,0,0,0,0,0.6,0.8,79.5,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-11,2011,3,11,70,6.5,24,5.6,24,1015.5,17,13.9,24,6,24,6,24,8.8,12.9,10.6,NA,2.2,NA,1.78,G,NA,1,1,0,0,0,0,0.9,1,94,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-12,2011,3,12,71,7.2,24,1.3,24,1007.3,24,6.3,24,15.8,24,5.7,24,9.3,13.9,11.1,NA,2.8,NA,11.94,G,NA,0,0,0,0,0,0,0.7,1,66.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-03-13,2011,3,13,72,7.2,24,-0.2,24,1010.9,24,9.9,24,16.1,24,4.6,24,9.8,13.9,11.1,NA,2.8,NA,0,G,NA,1,0,0,0,0,NA,0.6,1,59.4,3.3
